text,label
0:13 Is it me or did that come off more sexual than it needed to., VID10
Also this 'times up  no more ink…' is so lame and scripted. I haven't seen any tattoos get shutdown like halfway. it's a joke to try to convince us it's an actual competition., VID10
I just think calling people canvases is really lame. I know they ALWAYS do it  but it's really just highlighting that these people don't care about their clients. it's about the money - I'll doodle on you then leave my life forever., VID10
Why do you guys never show the finished tattoo what the hell is the point of watching all this if we can't see the end result lol?, VID10
the fox was gorgeous   i would have love to see the end result of the octopus also   seems really nice, VID10
who did the fox tattoo?, VID10
The admittance of being a narcissist was pretty funny, VID10
How can I see how the tattos turned out?!?!, VID10
Blond woman: tattooing and not talking to the canvas suddenly My mom died. She had lung cancer, VID10
Alexis makes me want to beat my dog I can't stand her crying every week. I'm so happy she's gone, VID10
Anybody else find Ash super annoying?, VID10
5:34 that skull is so ugly. The drawing is the easiest part. Wtf, VID10
Get drawin' LOL, VID10
The fox is hands down one of my favorites, VID10
The fox and that koi were good., VID10
They should at least show the critics of the judges ! I want to know what the judges say about the tattoos !, VID10
How can I watch full episodes?, VID10
Dave is killing it with that straight hair!!!, VID10
Left Arm | Howl, VID10
I think so bad this videos that have one frame for one or two seconds!, VID10
There all so pretty, VID10
TATTOOS ARE A SIGN OF WEAKNESS, VID10
Oh my oh my! The fox is so amazing! Damn! Freaking jealous man!, VID10
Ash is hott, VID10
Everybody Go Through Something Is All About Perseverance, VID10
The fox tattoo is stunning. Brilliant colours., VID10
I actually want a free handed tattoo., VID10
Where the heck can I watch this in Australia? Help anyone?, VID10
i think the real challenge would be using more dark skinned people to do tattoos on, VID10
PUT THIS ON NETFLIX OR HULU, VID10
Is it really freehand if they copy another pic, VID10
Those earrings are ridiculous. How the hell do they not get ripped out? You can see her when she moves her head  she's like a robot haha, VID10
Lol creepy Jason called my tattoos boring. I have all black and grey., VID10
who's the blonde, VID10
If you guys do a Season 13  can you please stop with the lame ass 'theme's?' ... In this case  man vs woman  I believe recently you had duos of two  and before that Team Peck vs Nunes... Oh yeah and there was Team Christian vs Team Cleen Rock One. And this season  season 12  not only do you have 'gender wars' you also have returning tattooers 'Coaching' Wow  great way to suggest the level of talent you have  as well as taking the limelight away from the contestants  no... to suggest they need coaches? The best seasons of Ink Master were the earlier ones where it was a group of individuals or two random teams... No coaching  no themes  no nothing. Just  A tattoo competition. Producers always have to ruin tv shows by getting too hands on. It's tiresome. Can we have one season that puts the spotlight solely on the artists ?! Is that too much to ask?, VID10
The skull and fox were breathtaking, VID10
1:47 god damn those are some big ass earrings, VID10
I really feel like Ash had a thing for Cam. Am I the only one?, VID10
Judges are on-the-nose douchebags, VID10
God finally. I feel so sorry for all those people ash tattoed. They should get a free tat removal, VID10
The fox is so gorgeously colored  the lines  the blending  and the flower branch accent just ties it all together! Really well done!, VID10
need Corey Hart to demo, VID10
Some of the best I've seen., VID10
Why always there needs to be satanist..., VID10
Love from indonesia..., VID10
Wolves and foxes r similar?? Ummmmmm no..... well they both have teeth and 4 legs and 2 ears lol, VID10
ash deserved to go home a while ago. her tattoos are mediocre and she has a terrible attitude., VID10
The Fox came out amazing, VID10
Fox is tha best  so gorgeous, VID10
I dont need your stories  I need to get your ass finished'. This guy is awesome, VID10
